[2025-12-07 16:52:46,191] INFO - Initiate the data Ingestion
[2025-12-07 16:52:51,686] INFO - Performed train test split on the dataframe
[2025-12-07 16:52:51,686] INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-12-07 16:52:51,686] INFO - Exporting train and test file path.
[2025-12-07 16:52:51,714] INFO - Exported train and test file path.
[2025-12-07 16:52:51,714] INFO - Data Ingestion completed
[2025-12-07 16:52:51,716] INFO - Initiate the data Validation
[2025-12-07 16:52:51,726] INFO - Required number of columns:2
[2025-12-07 16:52:51,726] INFO - Data frame has columns:31
[2025-12-07 16:52:51,726] INFO - Required number of columns:2
[2025-12-07 16:52:51,726] INFO - Data frame has columns:31
[2025-12-07 16:52:51,805] INFO - Data Validation completed
[2025-12-07 16:52:51,805] INFO - Initiate the data Transformation
[2025-12-07 16:52:51,805] INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-12-07 16:52:51,805] INFO - Starting data transformation
[2025-12-07 16:52:51,818] INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-12-07 16:52:51,818] INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-12-07 16:52:51,827] INFO - Entered the save_object method of MainUtils class
[2025-12-07 16:52:51,829] INFO - Exited the save_object method of MainUtils class
[2025-12-07 16:52:51,829] INFO - Entered the save_object method of MainUtils class
[2025-12-07 16:52:51,830] INFO - Exited the save_object method of MainUtils class
[2025-12-07 16:52:51,831] INFO - Data Transformation completed
