[2025-12-10 10:42:02,223] INFO - Initiate the data Ingestion
[2025-12-10 10:42:04,225] INFO - Performed train test split on the dataframe
[2025-12-10 10:42:04,226] INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2025-12-10 10:42:04,226] INFO - Exporting train and test file path.
[2025-12-10 10:42:04,260] INFO - Exported train and test file path.
[2025-12-10 10:42:04,260] INFO - Data Ingestion completed
[2025-12-10 10:42:04,262] INFO - Initiate the data Validation
[2025-12-10 10:42:04,285] INFO - Required number of columns:2
[2025-12-10 10:42:04,285] INFO - Data frame has columns:31
[2025-12-10 10:42:04,286] INFO - Required number of columns:2
[2025-12-10 10:42:04,286] INFO - Data frame has columns:31
[2025-12-10 10:42:04,405] INFO - Data Validation completed
[2025-12-10 10:42:04,405] INFO - Initiate the data Transformation
[2025-12-10 10:42:04,405] INFO - Entered initiate_data_transformation method of DataTransformation class
[2025-12-10 10:42:04,405] INFO - Starting data transformation
[2025-12-10 10:42:04,424] INFO - Entered get_data_trnasformer_object method of Trnasformation class
[2025-12-10 10:42:04,424] INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[2025-12-10 10:42:04,433] INFO - Entered the save_object method of MainUtils class
[2025-12-10 10:42:04,435] INFO - Exited the save_object method of MainUtils class
[2025-12-10 10:42:04,436] INFO - Entered the save_object method of MainUtils class
[2025-12-10 10:42:04,441] INFO - Exited the save_object method of MainUtils class
[2025-12-10 10:42:04,441] INFO - Data Transformation completed
[2025-12-10 10:42:04,441] INFO - Model Training sstared
